Map,Round_Type,Blue_Team,Red_Team,time_stamp,length,KB,KR,UB,UR,FB
Dorado,Attack,?SFS,?VAL,0:29,14,5,0,0,0,B
Dorado,Attack,?SFS,?VAL,1:05,24,1,6,2,3,B
Dorado,Attack,?SFS,?VAL,1:51,7,0,1,1,0,R
Dorado,Attack,?SFS,?VAL,2:14,28,7,2,3,3,B
Dorado,Attack,?SFS,?VAL,3:24,17,4,2,3,1,R
Dorado,Attack,?SFS,?VAL,4:05,18,6,0,1,0,B
Dorado,Attack,?SFS,?VAL,4:54,19,2,4,0,0,R
Dorado,Attack,?SFS,?VAL,5:23,6,0,1,1,1,R
Dorado,Attack,?SFS,?VAL,6:05,26,7,1,4,1,R
Dorado,Attack,?SFS,?VAL,6:49,38,1,6,2,4,R
Dorado,Attack,?SFS,?VAL,7:54,4,1,1,2,2,B
Dorado,Defense,?SFS,?VAL,0:15,5,2,0,0,0,B
Dorado,Defense,?SFS,?VAL,0:58,23,2,8,2,3,B
Dorado,Defense,?SFS,?VAL,1:44,15,2,1,2,1,B
Dorado,Defense,?SFS,?VAL,2:07,23,4,0,2,2,B
Dorado,Defense,?SFS,?VAL,3:02,2,1,0,0,0,B
Dorado,Defense,?SFS,?VAL,3:18,30,1,7,2,2,B
Dorado,Defense,?SFS,?VAL,4:07,37,7,2,4,4,B
Dorado,Defense,?SFS,?VAL,5:10,11,0,6,0,1,R
Dorado,Defense,?SFS,?VAL,5:47,4,0,3,2,1,R
Temple of Anubis,Attack,?SFS,?VAL,0:41,19,4,5,0,1,B
Temple of Anubis,Attack,?SFS,?VAL,1:20,18,6,2,1,1,B
Temple of Anubis,Attack,?SFS,?VAL,2:22,88,16,6,9,6,B
Temple of Anubis,Defense,?SFS,?VAL,0:25,3,2,1,0,0,B
Temple of Anubis,Defense,?SFS,?VAL,0:57,12,3,3,2,1,R
Temple of Anubis,Defense,?SFS,?VAL,1:30,54,4,7,4,5,R
Temple of Anubis,Defense,?SFS,?VAL,2:43,27,4,0,2,0,B
Temple of Anubis,Defense,?SFS,?VAL,3:35,36,2,7,4,4,R
Temple of Anubis,Defense,?SFS,?VAL,0:32,29,1,6,0,1,B
Temple of Anubis,Defense,?SFS,?VAL,1:39,12,6,3,0,1,R
Temple of Anubis,Defense,?SFS,?VAL,2:30,67,0,16,3,6,R
Temple of Anubis,Attack,?SFS,?VAL,0:15,26,2,5,0,0,R
Temple of Anubis,Attack,?SFS,?VAL,1:15,29,0,4,1,0,R
Temple of Anubis,Attack,?SFS,?VAL,2:18,19,3,3,3,2,R
Temple of Anubis,Attack,?SFS,?VAL,2:55,0,0,1,0,0,R
Temple of Anubis,Attack,?SFS,?VAL,3:15,16,1,3,1,2,R
Temple of Anubis,Attack,?SFS,?VAL,3:57,30,6,4,1,1,R
Temple of Anubis,Attack,?SFS,?VAL,5:03,32,4,5,3,3,B
Ilios,Lighthouse,?SFS,?VAL,0:19,4,2,0,0,0,B
Ilios,Lighthouse,?SFS,?VAL,1:13,10,3,0,0,0,B
Ilios,Lighthouse,?SFS,?VAL,1:48,82,9,11,4,6,B
Ilios,Lighthouse,?SFS,?VAL,3:39,8,0,2,1,0,R
Ilios,Lighthouse,?SFS,?VAL,4:05,6,0,1,1,0,R
Ilios,Lighthouse,?SFS,?VAL,4:29,29,7,0,4,3,B
Ilios,Ruins,?SFS,?VAL,0:17,25,1,4,0,0,R
Ilios,Ruins,?SFS,?VAL,1:08,63,3,7,6,5,R
Ilios,Ruins,?SFS,?VAL,2:29,20,2,5,2,1,R
Ilios,Well,?SFS,?VAL,0:21,20,6,1,0,0,B
Ilios,Well,?SFS,?VAL,1:07,22,4,1,2,0,B
Ilios,Well,?SFS,?VAL,1:35,27,0,7,2,3,R
Ilios,Well,?SFS,?VAL,2:33,25,1,4,3,1,R
Ilios,Well,?SFS,?VAL,3:27,42,2,12,2,5,R
Numbani,Attack,?SFS,?VAL,6:11,56,1,11,4,4,R
Numbani,Attack,?SFS,?VAL,5:23,27,1,6,1,2,R
Numbani,Attack,?SFS,?VAL,3:59,31,7,3,2,2,B
Numbani,Attack,?SFS,?VAL,3:07,22,1,3,0,1,R
Numbani,Attack,?SFS,?VAL,2:10,23,1,6,4,4,B
Numbani,Attack,?SFS,?VAL,1:11,29,2,4,3,2,B
Numbani,Attack,?SFS,?VAL,0:25,19,2,5,0,0,R
Numbani,Defense,?SFS,?VAL,0:19,18,3,1,0,0,B
Numbani,Defense,?SFS,?VAL,1:01,50,1,10,3,3,R
Numbani,Defense,?SFS,?VAL,2:27,14,2,2,2,3,B
Numbani,Defense,?SFS,?VAL,3:04,5,1,0,0,0,B
Numbani,Defense,?SFS,?VAL,3:18,6,0,1,0,0,R
Numbani,Defense,?SFS,?VAL,3:39,0,0,1,0,0,R
Volskaya Industries,Attack,?SEO,?VAL,0:26,24,4,5,0,1,B
Volskaya Industries,Attack,?SEO,?VAL,1:16,15,5,0,1,1,B
Volskaya Industries,Attack,?SEO,?VAL,2:06,19,1,4,2,1,B
Volskaya Industries,Attack,?SEO,?VAL,2:53,21,1,3,1,2,B
Volskaya Industries,Attack,?SEO,?VAL,3:53,49,7,6,4,5,R
Volskaya Industries,Attack,?SEO,?VAL,5:21,11,1,5,0,0,R
Volskaya Industries,Attack,?SEO,?VAL,6:02,12,1,3,0,0,R
Volskaya Industries,Attack,?SEO,?VAL,6:43,21,1,4,1,2,R
Volskaya Industries,Attack,?SEO,?VAL,7:26,48,11,2,5,4,B
Volskaya Industries,Defense,?SEO,?VAL,0:22,9,5,1,0,1,B
Volskaya Industries,Defense,?SEO,?VAL,1:16,28,5,1,2,1,B
Volskaya Industries,Defense,?SEO,?VAL,2:34,18,4,0,0,2,B
Volskaya Industries,Defense,?SEO,?VAL,3:26,9,2,0,1,1,B
Volskaya Industries,Defense,?SEO,?VAL,3:56,29,5,1,4,2,B
Nepal,Shrine,?SEO,?VAL,0:29,11,3,0,0,0,B
Nepal,Shrine,?SEO,?VAL,1:11,0,0,1,0,0,R
Nepal,Shrine,?SEO,?VAL,1:18,29,3,6,4,4,B
Nepal,Shrine,?SEO,?VAL,2:08,11,1,1,0,1,B
Nepal,Shrine,?SEO,?VAL,2:35,15,5,3,0,1,B
Nepal,Shrine,?SEO,?VAL,3:29,13,3,0,1,1,B
Nepal,Sanctum,?SEO,?VAL,0:26,6,4,1,0,0,B
Nepal,Sanctum,?SEO,?VAL,1:15,7,1,0,0,0,B
Nepal,Sanctum,?SEO,?VAL,2:03,32,3,4,3,4,B
Nepal,Sanctum,?SEO,?VAL,2:54,22,0,4,1,2,R
Nepal,Sanctum,?SEO,?VAL,3:36,43,10,2,3,4,B
King's Row,Attack,?SEO,?VAL,0:16,3,2,0,0,0,B
King's Row,Attack,?SEO,?VAL,0:40,16,6,0,0,0,B
King's Row,Attack,?SEO,?VAL,1:37,0,1,0,0,0,B
King's Row,Attack,?SEO,?VAL,1:51,25,5,0,1,1,B
King's Row,Attack,?SEO,?VAL,2:34,14,4,0,0,0,B
King's Row,Attack,?SEO,?VAL,3:07,18,0,4,2,3,R
King's Row,Attack,?SEO,?VAL,4:17,18,0,2,1,1,R
King's Row,Attack,?SEO,?VAL,4:59,17,4,1,1,0,B
King's Row,Attack,?SEO,?VAL,5:34,8,1,1,1,3,B
King's Row,Defense,?SEO,?VAL,0:08,19,0,3,0,1,R
King's Row,Defense,?SEO,?VAL,1:05,3,1,1,0,0,B
King's Row,Defense,?SEO,?VAL,1:25,0,0,1,0,0,R
King's Row,Defense,?SEO,?VAL,1:54,24,4,1,2,2,B
King's Row,Defense,?SEO,?VAL,2:56,28,2,5,2,2,B
King's Row,Defense,?SEO,?VAL,3:51,22,4,0,1,2,B
King's Row,Defense,?SEO,?VAL,4:27,12,1,0,0,1,B
King's Row,Defense,?SEO,?VAL,5:08,12,1,4,0,0,R
King's Row,Defense,?SEO,?VAL,6:06,8,5,0,0,0,B
King's Row,Defense,?SEO,?VAL,6:52,6,3,0,0,0,B
King's Row,Defense,?SEO,?VAL,7:17,0,1,0,0,0,B
King's Row,Defense,?SEO,?VAL,7:41,17,0,3,1,1,R
King's Row,Defense,?SEO,?VAL,8:16,10,3,0,2,3,B
Route 66,Attack,?SEO,?VAL,0:35,19,5,3,1,1,B
Route 66,Attack,?SEO,?VAL,1:17,28,6,3,0,1,R
Route 66,Attack,?SEO,?VAL,2:24,3,0,1,1,0,R
Route 66,Attack,?SEO,?VAL,2:44,8,0,1,1,2,R
Route 66,Attack,?SEO,?VAL,3:29,26,1,3,2,3,R
Route 66,Attack,?SEO,?VAL,4:40,6,1,2,1,1,B
Route 66,Attack,?SEO,?VAL,5:19,20,6,0,3,1,B
Route 66,Attack,?SEO,?VAL,6:16,12,0,4,1,2,R
Route 66,Attack,?SEO,?VAL,6:56,45,2,4,3,4,B
Route 66,Defense,?SEO,?VAL,0:52,10,2,0,0,1,B
Route 66,Defense,?SEO,?VAL,1:22,2,1,0,1,0,B
Route 66,Defense,?SEO,?VAL,2:16,33,1,6,0,3,R
Route 66,Defense,?SEO,?VAL,3:10,68,11,4,4,5,R
Volskaya Industries,Attack,?SHD,?DAL,7:45,36,1,7,3,6,R
Volskaya Industries,Attack,?SHD,?DAL,6:59,16,0,2,2,0,R
Volskaya Industries,Attack,?SHD,?DAL,6:34,5,0,3,0,1,R
Volskaya Industries,Attack,?SHD,?DAL,5:49,11,0,2,0,1,R
Volskaya Industries,Attack,?SHD,?DAL,4:43,41,7,5,5,5,R
Volskaya Industries,Attack,?SHD,?DAL,4:00,20,1,4,0,1,R
Volskaya Industries,Attack,?SHD,?DAL,2:04,29,6,2,1,2,B
Volskaya Industries,Attack,?SHD,?DAL,3:20,16,0,6,0,0,R
Volskaya Industries,Attack,?SHD,?DAL,1:26,6,0,3,0,1,R
Volskaya Industries,Attack,?SHD,?DAL,0:32,6,0,2,0,0,R
Volskaya Industries,Attack,?SHD,?DAL,1:01,0,0,1,0,0,R
Volskaya Industries,Defense,?SHD,?DAL,2:10,18,1,3,1,0,R
Volskaya Industries,Defense,?SHD,?DAL,1:47,6,1,1,0,0,R
Volskaya Industries,Defense,?SHD,?DAL,0:49,30,2,6,0,3,R
Volskaya Industries,Defense,?SHD,?DAL,0:08,6,3,0,0,0,B
Numbani,Attack,?SHD,?DAL,6:01,63,0,9,4,5,R
Numbani,Attack,?SHD,?DAL,5:26,12,1,6,1,3,B
Numbani,Attack,?SHD,?DAL,4:34,24,4,6,1,2,B
Numbani,Attack,?SHD,?DAL,3:57,7,0,3,1,1,R
Numbani,Attack,?SHD,?DAL,3:16,12,4,1,1,0,B
Numbani,Attack,?SHD,?DAL,2:10,28,4,3,3,3,R
Numbani,Attack,?SHD,?DAL,1:27,26,1,6,1,3,B
Numbani,Attack,?SHD,?DAL,0:58,21,3,1,3,1,B
